docId,filename,filename,work_id,title,rating,category,relationship,character,additional tags,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,0 jake wolf back,1 ashley love baby,2 eyes back face,3 time school good,4 eyes back face,5 back looked asked,6 aro caius marcus,7 eyes back body,8 back eyes head,9 time human knew
0,ABankofViolets.txt,ABankofViolets.txt,22114762,A Bank of Violets,Mature,"F/F, F/M","Rosalie Hale/Bella Swan, Alice Cullen/Jasper Hale, Carlisle Cullen/Esme Cullen","Rosalie Hale, Cullen Family, Edward Cullen, Mike Newton, Angela Weber, Jessica Stanley, Bella Swan, Charlie Swan","Canon Rewrite, bella is gay, Rosalie is sapphic, removing problematic undertones, edward and Alice are wingmen, Slow Burn, Awkward Bella, pro Jessica Stanley, Attempted Sexual Assault, Fix-It, Angst, Plot, Developing Friendships, Minor Original Character(s), As in bella now has friends, My First Work in This Fandom, This isn't as angsty as i thought it would be, Humor, Homophobic Language, Canon-Typical Violence, Hand-wavy car science, Can you tell i know jack shit about cars, Fuck Tyler, First Dates, First Kiss",2020-10-24,Completed,2020-10-24,103066,27/27,477,953,195,24934,2.9377370185084752E-6,2.83072953584803E-6,0.08417043921302463,0.05661644723934474,0.5336351265418882,0.2427404790061572,1.6781096468998453E-4,1.728821525392173E-4,3.4370803421850332E-6,0.08248760933545955
1,ABeaconofLight.txt,ABeaconofLight.txt,14687826,A Beacon of Light,Teen And Up Audiences,F/M,"Emmett Cullen/Original Female Character(s), Emmett Cullen/Reader, Edward Cullen/Bella Swan, Alice Cullen/Jasper Hale","Emmett Cullen, Original Swan Character(s) (Twilight), Original Female Character(s), Edward Cullen, Bella Swan","Romance, Hurt/Comfort, Fluff and Humor",2018-05-17,Updated,2020-09-25,45620,9/?,27,146,34,2629,6.63629815052675E-5,6.61313574839842E-5,0.21657422647082938,0.16641262618645783,0.3449697426382599,0.11409817331405872,3.212295647492024E-6,0.005714576409394595,0.0010275090569748005,0.15106743928938798
2,ABiteofForever.txt,ABiteofForever.txt,26537740,A Bite of Forever,Explicit,F/M,"Jacob Black/Renesmee Cullen, Edward Cullen/Bella Swan, Alice Cullen/Jasper Hale, Emmett Cullen/Rosalie Hale, Seth Clearwater/Original Female Character(s), Original Male Character/Original Male Character","Renesmee Cullen, Jacob Black, Edward Cullen, Bella Swan, Alice Cullen, Jasper Hale, Emmett Cullen, Rosalie Hale, Seth Clearwater","Eventual Smut, Enemies to Lovers, Vampire Bites, Blood Drinking, Light BDSM, Light Bondage, Light Angst, Renesmee is a BAMF, Alpha Jacob Black",2020-09-19,Updated,2020-09-27,4873,2/?,0,11,1,229,0.1375755939731066,5.826671010901998E-5,1.855841843902879E-4,0.195348715244186,5.999699116765707E-5,0.44650022257929595,0.030843064531584908,0.171315583567883,0.005206167208297638,0.012906805009978936
3,ABodyATemple.txt,ABodyATemple.txt,25462837,A Body A Temple,Explicit,F/M,Edward Cullen/Bella Swan,"Edward Cullen, Bella Swan, Rosalie Hale, Jasper Hale, Alice Cullen, Esme Cullen, Carlisle Cullen, Emmett Cullen","Implied/Referenced Rape/Non-con, Prostitution, Implied/Referenced Underage Prostitution, right in the feels",2020-07-23,Completed,2020-07-23,1883,1/1,2,54,11,1017,1.8413241604592847E-4,1.774253669829513E-4,0.09439094068016966,0.25603219807182714,0.041883061518160215,0.435259822492718,9.301722849447377E-5,0.033423661573064756,2.1543041584839222E-4,0.1383403102366884
4,ABodyofWaterandBones.txt,ABodyofWaterandBones.txt,26566000,A Body of Water and Bones,Teen And Up Audiences,F/M,"Edward Cullen/Original Female Character(s), Edward Cullen/Bella Swan","Edward Cullen, Bella Swan, Original Female Character(s), Jessica Stanley, Mike Newton, Angela Weber, Lauren Mallory, Alice Cullen, Emmett Cullen, Jasper Hale, Rosalie Hale, Carlisle Cullen, Esme Cullen","Romance, Drama, Friendship, Humor, Angst, Self-Insert, SI-OC, SI, Reincarnation, Dimension Travel, High School, Gossip, Shenanigans, Fluff, Swearing, Sassy OFM, Pop Culture, Slice of Life, Foreknowledge, Not Canon Compliant, Canon Rewrite",2020-09-20,Updated,2020-10-24,32352,11/?,280,428,121,5081,8.547337988622406E-4,8.636539232970833E-6,0.26949007871986425,0.26340307656005324,0.2198247188416784,0.15084381441235198,4.527802066273468E-6,1.9999966489973122E-5,1.0486511991425905E-5,0.09553992684740924
5,AchillesComeDown.txt,AchillesComeDown.txt,26951677,"Achilles, Come Down",Teen And Up Audiences,F/F,Rosalie Hale/Bella Swan,"Bella Swan, Rosalie Hale, Alice Cullen, Esme Cullen, Edward Cullen, Angela Weber, Jessica Stanley, Mike Newton, Eric Yorkie","Tudor Era, Vampire takeover AU, slowburn if I have the patience, Maid/Lady, is that a trope?? i feel like it is, literally this is just Twilight but gay and renaissance themed, Princess - Freeform, Monarchy, Politics",2020-10-11,Updated,2020-10-20,9505,3/4,45,51,8,556,3.066806531293514E-5,0.22401805417002704,0.34591616529493296,0.06463699400767597,0.055014686408732916,0.10172291543638194,0.0836494425880424,0.005566858123799957,3.588088510163966E-5,0.11940833501999225
6,AComprehensiveGuidetoVampireEtiquette.txt,AComprehensiveGuidetoVampireEtiquette.txt,25847986,A Comprehensive Guide to Vampire Etiquette,General Audiences,0,0,0,0,2020-09-08,Updated,2020-09-08,612,1/?,0,14,1,684,3.946403846329868E-4,0.02644767977803283,0.001211176543698836,0.008771173436187992,3.915578724205947E-4,0.001888187767909626,0.4731367308224777,0.008328428221241538,4.6171958201454173E-4,0.4789687055913835
7,acullenhalloween.txt,acullenhalloween.txt,26807137,a cullen halloween,General Audiences,0,Edward Cullen/Bella Swan,"Bella Swan, Edward Cullen, Alice Cullen, Esme Cullen, Emmett Cullen, Jasper Hale, Rosalie Hale, Carlisle Cullen, Renesmee Cullen",0,2020-10-04,Completed,2020-10-04,1269,1/1,0,6,1,116,0.004267127353956937,0.37302785330178573,6.590069926579661E-4,0.2965453543193197,0.0022392493345254265,0.18338544493318779,1.0847189835707245E-4,0.008583939539422956,2.5122384905627425E-4,0.13093232847773012
8,ADancetoHeal.txt,ADancetoHeal.txt,25617313,A Dance to Heal,Teen And Up Audiences,F/M,"Emmett Cullen/Rosalie Hale, Edward Cullen/Bella Swan","Rosalie Hale, Emmett Cullen, Bella Swan, Edward Cullen","Fluff, Dancing, Slow Dancing, Hurt/Comfort, Emotional Hurt/Comfort, Post-Traumatic Stress Disorder - PTSD, Romance",2020-07-30,Completed,2020-07-30,2424,1/1,4,39,2,359,1.3405431124901928E-4,0.001394138297544611,0.002941355109194174,0.014364158278712522,1.330072211192719E-4,0.3927811426761186,6.771952906439395E-5,0.06228250683756982,0.10261916186321568,0.42328275587621184
9,AddictedToYouREVISED.txt,AddictedToYouREVISED.txt,26447569,Addicted To You REVISED,Explicit,F/M,Edward Cullen/Bella Swan,"Bella Swan, Edward Cullen, Jacob Black, Leah Clearwater, Seth Clearwater, Elizabeth Masen, Edward Masen Sr., Alice Cullen, Emmett Cullen, Jasper Hale, Rosalie Hale, Carlisle Cullen, Esme Cullen, Angela Weber, Ben Cheney, Tyler Crowley, Mike Newton, Aro (Twilight), Marcus (Twilight), Caius (Twilight), Peter (Twilight), Charlotte (Twilight)","Romance, Drama, Hurt/Comfort, Vampires, Werewolves, myths",2020-09-13,Updated,2020-10-27,169753,45/49,45,24,8,1315,0.014474065085565065,1.7740969337875273E-6,0.04894713298807524,0.07813533478329242,0.0035634185023071217,0.6781011258153011,0.004309587392837337,0.08416191469293687,2.154113849108901E-6,0.08830349252890188
