work_id,title,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits
26938042,february,Mature,F/F,Twilight Series - All Media Types,"Rosalie Hale/Bella Swan, Alice Cullen/Bella Swan","Bella Swan, Rosalie Hale, Alice Cullen, Edward Cullen, Emmett Cullen, Charlie Swan, Jessica Stanley, Angela Weber, Eric Yorkie, Mike Newton, Royce King","Horror, Self-Harm, Character Death, Toxic friendship, mentions of Rose/Emmett, Halloween, literature references, when i say gore i mean it, Human AU, Supernatural Elements, Violence/Gore and Blood, here have a fic with my fucking soul in it for no discernible reason!",English,2020-10-10,Updated,2020-10-27,14222,6/7,20,45,11,646
26959726,Vanished before dawn,General Audiences,F/M,Twilight Series - Stephenie Meyer,,"Bella Swan, Edward Cullen, Alice Cullen","Heavy Angst, i feel like i need to say that eng is not my 1st language, so for any mistakes...im sorry!!!and embarrassed!!, also it's my 1st work..., and i dont know how to use tags :(",English,2020-10-11,Completed,2020-10-27,3337,2/2,null,null,null,9
23828989,The Garage,Teen And Up Audiences,F/M,"Twilight Series - Stephenie Meyer, Life and Death - Stephenie Meyer, Twilight Series - All Media Types, Twilight","Leland ""Lee"" Clearwater/Julie ""Jules"" Black, Lee Clearwater/Julie Black, Leland Clearwater/Julie Black, Lee Clearwater/Jules Black","Lee Clearwater, Jules Black, Julie Black, Leland Clearwater, Jacob Black, Leah Clearwater, Sarah Clearwater, Emma Call, Quil Ateara V, Samantha Uley, Sam Uley, Bonnie Black, Holly Clearwater, Jade Cameron, Paula Lahote, Beau Swan, Elliott Young","Angst and Hurt/Comfort, Angst, Friendship/Love, Drama, Canon Compliant, Post-Canon, Contains SPOILERS if you haven't read Life and Death, SPOILERS SPOILERS, Spoilers, Blackwater",English,2020-04-24,Updated,2020-10-27,58608,23/?,8,34,8,463
26914351,The Cullen Father,Not Rated,F/M,Twilight Series - Stephenie Meyer,"Carlisle Cullen/Esme Cullen, Edward Cullen/Bella Swan","Carlisle Cullen, Edward Cullen, Original Characters, Esme Cullen, Renesmee Cullen, Bella Swan","Families of Choice, Family, Family Feels, London, Vampires, Hurt/Comfort, Forks Washington, Father-Son Relationship",English,2020-10-09,Updated,2020-10-27,8643,4/13,2,2,1,88
26447569,Addicted To You REVISED,Explicit,F/M,Twilight Series - Stephenie Meyer,Edward Cullen/Bella Swan,"Bella Swan, Edward Cullen, Jacob Black, Leah Clearwater, Seth Clearwater, Elizabeth Masen, Edward Masen Sr., Alice Cullen, Emmett Cullen, Jasper Hale, Rosalie Hale, Carlisle Cullen, Esme Cullen, Angela Weber, Ben Cheney, Tyler Crowley, Mike Newton, Aro (Twilight), Marcus (Twilight), Caius (Twilight), Peter (Twilight), Charlotte (Twilight)","Romance, Drama, Hurt/Comfort, Vampires, Werewolves, myths",English,2020-09-13,Updated,2020-10-27,169753,45/49,45,24,8,1315
25710196,A Rose By Any Other Name...,General Audiences,"F/F, M/M, Multi","Twilight Series - Stephenie Meyer, Twilight Series - All Media Types","Rosalie Hale/Bella Swan, Rosalie Hale & Bella Swan, Edward Cullen/Emmett Cullen, Alice Cullen/Jasper Hale, Carlisle Cullen/Esme Cullen, Billy Black/Charlie Swan","Bella Swan, Rosalie Hale, Edward Cullen, Emmett Cullen, Alice Cullen, Jasper Hale, Carlisle Cullen, Esme Cullen, Charlie Swan, Jacob Black","Twilight Spitefic, Twilight Renaissance",English,2020-08-04,Updated,2020-10-27,56409,13/28,107,399,67,8014
17293451,Second Chances,Teen And Up Audiences,F/M,Twilight Series - All Media Types,Jacob Black/Original Female Character(s),"Jacob Black, Original Female Character(s), Bella Swan, Sam Uley, Embry Call, Quil Ateara V, Seth Clearwater, Leah Clearwater","Emotional Hurt/Comfort, Self-Discovery, Eventual Relationships, Family Drama, Family Feels, Implied/Referenced Character Death, Childhood Trauma, Wolf Pack, Post-Break Up, Soft Jacob Black, Wolf Pack Drama, Werewolf Drama, Vampire Turning, Volturi, Yes we're touching on Jacob's issues cause the boy's got a lot",English,2020-10-25,Updated,2020-10-27,55705,18/30,26,118,24,2368
27228850,The Night We Met | Volturi Kings,Mature,F/M,Twilight Series - All Media Types,Aro (Twilight)/Caius (Twilight)/Marcus (Twilight)/Original Female Character(s),"Aro (Twilight), Marcus (Twilight), Caius (Twilight), Original Female Character(s), Carlisle Cullen, Esme Cullen, Edward Cullen, Bella Swan, Renesmee Cullen, Rosalie Hale, Emmett Cullen, Jasper Hale, Alice Cullen, Jacob Black, Leah Clearwater, Seth Clearwater, Jane (Twilight), Alec (Twilight), Demetri (Twilight), Felix (Twilight), Heidi (Twilight), Corin (Twilight), Renata (Twilight), Chelsea (Twilight), Santiago (Twilight), Afton (Twilight), Vladimir (Twilight), Stefan (Twilight)","Post-Traumatic Stress Disorder - PTSD, Anxiety Disorder, Depression, Suicidal Thoughts, Drug Abuse, Possessive Behavior, Borderline Yandere, Virgin Volturi Kings",English,2020-10-27,Updated,2020-10-27,4327,3/?,null,null,null,25
25171981,Ourselves | Edward Cullen,Mature,F/M,Twilight Series - Stephenie Meyer,"Edward Cullen/Original Female Character(s), Edward Cullen/Ainsel Graves","Edward Cullen, Carlisle Cullen, Esme Cullen, Rosalie Hale, Emmett Cullen, Jasper Hale, Alice Cullen, Bella Swan, Jacob Black, Jessica Stanley, Angela Webber, Eric Yorkie, Mike Newton, Lauren Mallory, Laurent, James, Victoria, Charlie Swan, The Pack - Character, Billy Black, Harry Clearwater, Sue Clearwater","Reincarnation, Soulmates, Witches, Vampires, Mermaids, Elves, Fairies, Werewolves, Shifters, Angels, Demons, Spirits, mother - Freeform, Awkward Edward, one sided pining, Slow Burn Romance, virgins, dying young, life's purpose, redhead Edward, Ainsel - Freeform",English,2020-10-27,Updated,2020-10-27,4846,3/?,1,9,3,151
23705527,Rosalie Hale's Little Sister,Teen And Up Audiences,Multi,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)","Jacob Black/Bella Swan, Edward Cullen/Bella Swan, Seth Clearwater/Original Female Character(s), Seth Clearwater/Original Character(s), Alice Cullen/Jasper Hale, Carlisle Cullen/Esme Cullen, Jacob Black/Renesmee Cullen, Emmett Cullen/Rosalie Hale, Embry Call/Original Female Character(s), Embry Call/Original Character(s)","Bella Swan, Edward Cullen, The Volturi (Twilight), Jane (Twilight), Alec (Twilight), Aro (Twilight), Original Cullen Character(s), Original Female Character(s), Original Male Character(s), Esme Cullen, Renesmee Cullen, Jacob Black, Seth Clearwater, Leah Clearwater, Rosalie Hale, Carlisle Cullen, Jasper Hale, Alice Cullen","Vampires, Vampire Turning, Vampire Bites, Character Turned Into Vampire, Human/Vampire Relationship, Half-Vampires, Witches, Witchcraft, Witch Curses, Wolf Pack, Teenagers, Teen Romance, Teen Angst, Teenage Drama, Horny Teenagers, Teen Crush, Teenage Rebellion, Teen Years, Childhood Friends, Children, Childhood, Childhood Trauma, Childhood Memories, Father-Son Relationship, Father-Daughter Relationship, Fatherhood, Father Figures, Mother-Son Relationship, Mother-Daughter Relationship, Motherhood, Brother-Sister Relationships, Sisters, Sister-Sister Relationship, Little Sisters, Big Sisters, Brothers, Protective Older Brothers, Male-Female Friendship, POV Female Character, Female Friendship, Female Protagonist, Original Female Character(s) - Freeform, Loss of Virginity, Blood Loss, Family Loss, Puberty, Vampire Family, Loss of Parent(s)",English,2020-04-17,Updated,2020-10-27,63538,66/112,2,35,null,1807
27045445,Rosalie's Body,Mature,F/F,Twilight Series - All Media Types,Rosalie Hale/Bella Swan,"Bella Swan, Rosalie Hale, Emmett Cullen, Edward Cullen, Charlie Swan, Renee Dwyer, Alice Cullen","Romance, Monsters, High School, Movie AU, Vampires, something a little spooky for the season, Happy Ending?, sandbox love, Foreshadowing, Drama, Horror kinda, Gay ending",English,2020-10-16,Updated,2020-10-28,14901,4/?,23,47,8,547
27228103,Where Did Everybody Go?,Teen And Up Audiences,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)",Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale","Whumptober 2020, Whump, Whumptober, i thought this would hurt more, its sad but it's chill, Just little snipped of an idea I had a while ago",English,2020-10-27,Completed,2020-10-27,699,1/1,null,null,null,18
26410984,supernova,Teen And Up Audiences,F/F,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types",Edythe Cullen/Bella Swan,"Edythe Cullen, Bella Swan, Carlisle Cullen, Esme Cullen, Alice Cullen, Emmett Cullen, Jasper Hale, Rosalie Hale, Charlie Swan","POV Lesbian Character, Useless Lesbian Vampire, Vampires, Found Family, Rewrite, Fix-It, Those are generous terms for the first couple chapters, maybe the whole thing i haven't finished this yet",English,2020-09-11,Updated,2020-10-27,48390,9/?,8,11,6,419
25688917,I've Been Missing You,Explicit,F/M,Twilight Series - Stephenie Meyer,"Jacob Black/Renesmee Cullen, Jasper Hale/Bella Swan, Alice Cullen/Seth Clearwater, Edward Cullen/Leah Clearwater, Edward Cullen/Maggie","Bella Swan, Edward Cullen, Renesmee Cullen, Jacob Black, Billy Black, Carlisle Cullen, Alice Cullen, Seth Clearwater, Rosalie Hale, Emmett Cullen, Maggie (Twilight), Leah Clearwater, Jasper Hale, Esme Cullen","Slow Burn, Slow Build, Imprinting, Sequel, Explicit Sexual Content, Alternate Universe - Canon Divergence, Breaking Dawn Rewrite",English,2020-08-03,Updated,2020-10-27,181123,18/21,46,59,17,1953
27133244,Siren's Call,Mature,F/M,Twilight Series - Stephenie Meyer,Embry Call/Original Female Character(s),"Embry Call, Quil Ateara IV, Quil ""Old Quil"" Ateara III, Jacob Black, Original Characters, Seth Clearwater, Sam Uley","Romance, Drama",English,2020-10-21,Updated,2020-10-27,12688,4/?,null,6,3,55
26911627,OVERCAST (updates every tue and fri),Mature,"F/F, F/M, Gen, Multi","Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)",,,"Fanfiction, Inspired by the Twilight Series, Original Character(s), Twilight References, Twilight Spitefic, Alternate Universe - Twilight Fusion, Love/Hate, Love, Falling In Love, Love Confessions, Unrequited Love, Idiots in Love, Friendship/Love, Love at First Sight, Forbidden Love, Vampires, Alternate Universe - Vampire, Human/Vampire Relationship, College, University, My First Fanfic, School, Fantasy, Dark Fantasy, Dark, Sexual Fantasy, Romance, Eventual Romance, Drama & Romance, Slow Romance, Awkward Romance, Action & Romance, Angst and Romance, Romantic Comedy, Unresolved Romantic Tension, Romantic Gestures, Romantic Angst, Romanticism, Original Mythology, Original Universe, Original Fiction, Work In Progress, Scottish Character, Scotland, Edinburgh, Cultural Differences",English,2020-10-09,Updated,2020-10-27,19556,14/?,null,null,1,38
27224080,Memories of Venus,General Audiences,F/M,"Twilight Series - Stephenie Meyer, Twilight (Movies)","Edward Cullen/Rosalie Hale, Edward Cullen/Bella Swan","Edward Cullen, Rosalie Hale, Bella Swan","Character Study, Past Memories",English,2020-10-27,Completed,2020-10-27,1585,1/1,null,3,null,16
27221812,Ohio,Mature,F/F,"Twilight Series - All Media Types, Twilight Series - Stephenie Meyer, Twilight (Movies)","Rosalie Hale/Bella Swan, Bella Swan/Victoria","Leah Clearwater, Sam Uley, Bella Swan, Charlie Swan, Paul Lahote, Rosalie Hale","One Shot, AU-No Vampires, Alternate Universe - Normal High School, Unhealthy Relationships, Songfic, Past Infidelity",English,2020-10-27,Completed,2020-10-27,5164,1/1,1,19,null,140
